concept_state,weight
dots_and_globules=irregular,0.9792747637208485
pigment_network=atypical,0.6300185681472491
streaks=irregular,0.5971537201223304
pigmentation=diffuse irregular,0.46731840669439584
blue_whitish_veil=present,0.43176050455723763
regression_structures=combinations,0.34274553709139194
vascular_structures=dotted,0.25001669487206307
vascular_structures=within regression,0.19667408124755145
vascular_structures=linear irregular,0.16897597363729583
regression_structures=white areas,0.12167778009560967
vascular_structures=hairpin,0.11449497229132498
pigmentation=localized irregular,0.09815676485032275
regression_structures=blue areas,0.0004919849396699042
pigmentation=localized regular,0.0
vascular_structures=wreath,-0.010054288945144534
vascular_structures=comma,-0.08795039008754504
pigment_network=absent,-0.16250504765759097
vascular_structures=arborizing,-0.21408514173457444
streaks=regular,-0.2556774085446671
pigmentation=absent,-0.26635444521508
pigmentation=diffuse regular,-0.29931873932384034
streaks=absent,-0.3416743245718644
dots_and_globules=absent,-0.3557399091455596
vascular_structures=absent,-0.4182699142751719
blue_whitish_veil=absent,-0.43195851755143994
regression_structures=absent,-0.4651133151208729
pigment_network=typical,-0.4677115334838589
dots_and_globules=regular,-0.6237328675694881
